Links,Address,Description,Price
https://www.rightmove.co.uk/properties/126523442#/?channel=RES_BUY,"The Underwood Building, 25 Bartholomew Close, EC1A",1 bedroom apartment for sale,"£830,000"
https://www.rightmove.co.uk/properties/128312213#/?channel=RES_BUY,"Moor Lane, Moorgate, EC2Y",1 bedroom apartment for sale,"£850,000"
https://www.rightmove.co.uk/properties/128282582#/?channel=RES_BUY,"Ben Jonson House, Barbican, London, EC2Y",1 bedroom apartment for sale,"£745,000"
https://www.rightmove.co.uk/properties/128277284#/?channel=RES_BUY,Moor Lane London EC2Y,1 bedroom apartment for sale,"£850,000"
https://www.rightmove.co.uk/properties/120107552#/?channel=RES_BUY,"Queens Quay, 58 Upper Thames Street, London, EC4V",1 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/128237309#/?channel=RES_BUY,"Aldersgate Street, London",1 bedroom flat for sale,"£600,000"
https://www.rightmove.co.uk/properties/128225399#/?channel=RES_BUY,"Norfolk House, Trig Lane, London, EC4V",Studio flat for sale,"£400,000"
https://www.rightmove.co.uk/properties/128191586#/?channel=RES_BUY,"College Hill, London",2 bedroom flat for sale,"£1,300,000"
https://www.rightmove.co.uk/properties/126733943#/?channel=RES_BUY,Lauderdale Tower Barbican EC2,3 bedroom apartment for sale,"£1,625,000"
https://www.rightmove.co.uk/properties/128189414#/?channel=RES_BUY,"College Hill, London, EC4R",2 bedroom apartment for sale,"£1,300,000"
https://www.rightmove.co.uk/properties/128173136#/?channel=RES_BUY,"The Heron, Moorgate, London, EC2Y",Studio flat for sale,"£595,000"
https://www.rightmove.co.uk/properties/128147891#/?channel=RES_BUY,"Barts Square, 56 West Smithfield, Smithfield Market, City Of London, EC1A",2 bedroom apartment for sale,"£1,585,000"
https://www.rightmove.co.uk/properties/117323147#/?channel=RES_BUY,"Bartholemew Close, Farringdon, London, EC1A",Parking for sale,"£50,000"
https://www.rightmove.co.uk/properties/128117600#/?channel=RES_BUY,"Werna House, 31 Monument Street, City Of London, EC3R",1 bedroom flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/128098337#/?channel=RES_BUY,"Cromwell Tower, Barbican, London, EC2Y",3 bedroom apartment for sale,"£1,800,000"
https://www.rightmove.co.uk/properties/127185830#/?channel=RES_BUY,"75 Little Britain, London, EC1A",1 bedroom flat for sale,"£575,000"
https://www.rightmove.co.uk/properties/128017151#/?channel=RES_BUY,"St Dunstans House, 133-137 Fetter Lane, London, EC4A",1 bedroom apartment for sale,"£725,000"
https://www.rightmove.co.uk/properties/126647936#/?channel=RES_BUY,"Ludgate Square, London, EC4M",1 bedroom flat for sale,"£475,000"
https://www.rightmove.co.uk/properties/128009147#/?channel=RES_BUY,"Golden Lane Estate, Cullum Welch House",Studio flat for sale,"£350,000"
https://www.rightmove.co.uk/properties/127986716#/?channel=RES_BUY,"Chancery Quarters, 122-126 Chancery Lane, London, WC2A",1 bedroom apartment for sale,"£925,000"
https://www.rightmove.co.uk/properties/85303815#/?channel=RES_BUY,"Aldersgate Street, London, EC1A",5 bedroom apartment for sale,"£3,995,000"
https://www.rightmove.co.uk/properties/127971080#/?channel=RES_BUY,Willoughby House Barbican EC2,2 bedroom apartment for sale,"£1,245,000"
https://www.rightmove.co.uk/properties/128128040#/?channel=RES_BUY,"Barbican, John Trundle Court",Studio flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/127059773#/?channel=RES_BUY,"Ludgate Square, London, EC4M",1 bedroom apartment for sale,"£700,000"
https://www.rightmove.co.uk/properties/127917446#/?channel=RES_BUY,"Middlesex Street, London, E1",2 bedroom duplex for sale,"£950,000"
https://www.rightmove.co.uk/properties/128312213#/?channel=RES_BUY,"Moor Lane, Moorgate, EC2Y",1 bedroom apartment for sale,"£850,000"
https://www.rightmove.co.uk/properties/127934588#/?channel=RES_BUY,"Queen Street, London, EC4R",1 bedroom flat for sale,"£625,000"
https://www.rightmove.co.uk/properties/127926569#/?channel=RES_BUY,"Flat 1 Aldersgate Court, 30 Bartholomew Close, London, EC1A 7ES",Studio flat for sale,"£295,000"
https://www.rightmove.co.uk/properties/125141525#/?channel=RES_BUY,"Fenchurch House, 136-138 Minories, London, EC3N",2 bedroom apartment for sale,"£650,000"
https://www.rightmove.co.uk/properties/127878119#/?channel=RES_BUY,"7-8 Carthusian Street, London, EC1M 6EB",Property for sale,"£2,000,000"
https://www.rightmove.co.uk/properties/127841117#/?channel=RES_BUY,"Barbican, Thomas More House",2 bedroom flat for sale,"£950,000"
https://www.rightmove.co.uk/properties/127820321#/?channel=RES_BUY,"Clifford's Inn, Fetter Lane, London, EC4A",2 bedroom apartment for sale,"£999,000"
https://www.rightmove.co.uk/properties/127812041#/?channel=RES_BUY,"Wood Street, London",Studio flat for sale,"£650,000"
https://www.rightmove.co.uk/properties/128304260#/?channel=RES_BUY,"Fetter Lane, London",1 bedroom apartment for sale,"£560,000"
https://www.rightmove.co.uk/properties/126018500#/?channel=RES_BUY,"West Smithfield, EC1A",1 bedroom apartment for sale,"£540,000"
https://www.rightmove.co.uk/properties/127131209#/?channel=RES_BUY,"High Timber Street, EC4V",2 bedroom apartment for sale,"£900,000"
https://www.rightmove.co.uk/properties/127746473#/?channel=RES_BUY,5 Moor Lane London EC2Y,Studio apartment for sale,"£550,000"
https://www.rightmove.co.uk/properties/127737746#/?channel=RES_BUY,"Brooke Street Apartments, London, EC1N",2 bedroom flat for sale,"£1,060,000"
https://www.rightmove.co.uk/properties/127733609#/?channel=RES_BUY,"The Underwood Building, 25 Bartholomew Close, Farringdon, Barbican, London, EC1A",1 bedroom apartment for sale,"£830,000"
https://www.rightmove.co.uk/properties/126806582#/?channel=RES_BUY,"Barbican, Thomas More House",1 bedroom flat for sale,"£900,000"
https://www.rightmove.co.uk/properties/126102773#/?channel=RES_BUY,"Bush Lane, London",1 bedroom flat for sale,"£550,000"
https://www.rightmove.co.uk/properties/127612334#/?channel=RES_BUY,"The Westin, London City EC4V",3 bedroom apartment for sale,"£6,655,000"
https://www.rightmove.co.uk/properties/127598027#/?channel=RES_BUY,"Frobisher Crescent, Barbican, London, EC2Y",Studio apartment for sale,"£575,000"
https://www.rightmove.co.uk/properties/127576187#/?channel=RES_BUY,"Bunyan Court, Barbican, London",1 bedroom apartment for sale,"£795,000"
https://www.rightmove.co.uk/properties/127472141#/?channel=RES_BUY,Andrewes House Barbican EC2,1 bedroom apartment for sale,"£885,000"
https://www.rightmove.co.uk/properties/127436267#/?channel=RES_BUY,"Pepys Street, London, EC3N",1 bedroom apartment for sale,"£575,000"
https://www.rightmove.co.uk/properties/127415642#/?channel=RES_BUY,"Cromwell Tower, Barbican, London, EC2Y",3 bedroom house for sale,"£3,500,000"
https://www.rightmove.co.uk/properties/127411799#/?channel=RES_BUY,4-7 Red Lion Court London EC4A,1 bedroom apartment for sale,"£610,000"
https://www.rightmove.co.uk/properties/127350854#/?channel=RES_BUY,"Flat , Marlyn Lodge, Portsoken Street, London",Studio apartment for sale,"£425,000"
https://www.rightmove.co.uk/properties/124034594#/?channel=RES_BUY,"The Void Space, Cromwell Tower, Barbican, London EC2",3 bedroom maisonette for sale,"£3,500,000"
https://www.rightmove.co.uk/properties/127264682#/?channel=RES_BUY,"The Gallery, 38 Ludgate Hill, London, EC4M",1 bedroom apartment for sale,"£725,000"
https://www.rightmove.co.uk/properties/124364984#/?channel=RES_BUY,"Cobb Street, Spitalfields",1 bedroom flat for sale,"£449,500"
https://www.rightmove.co.uk/properties/126258812#/?channel=RES_BUY,"Mitre Street, Aldgate, EC3A",2 bedroom flat for sale,"£1,250,000"
https://www.rightmove.co.uk/properties/126350957#/?channel=RES_BUY,"Fann Street, London, EC2Y",2 bedroom apartment for sale,"£850,000"
https://www.rightmove.co.uk/properties/127273691#/?channel=RES_BUY,"Pinks Mews, 1-6 Dyer's Buildings, London, EC1N",2 bedroom chalet for sale,"£1,900,000"
https://www.rightmove.co.uk/properties/127264682#/?channel=RES_BUY,"The Gallery, 38 Ludgate Hill, London, EC4M",1 bedroom apartment for sale,"£725,000"
https://www.rightmove.co.uk/properties/127228139#/?channel=RES_BUY,"One Bishopsgate Plaza, City Of London, EC2M",2 bedroom apartment for sale,"£2,205,000"
https://www.rightmove.co.uk/properties/127191500#/?channel=RES_BUY,"3 Ludgate Square, St Pauls, London",2 bedroom apartment for sale,"£725,000"
https://www.rightmove.co.uk/properties/125697164#/?channel=RES_BUY,"Essex Street, Covent Garden",3 bedroom flat for sale,"£2,700,000"
https://www.rightmove.co.uk/properties/127068758#/?channel=RES_BUY,"Victoria House, Tudor Street, London",2 bedroom apartment for sale,"£960,000"
https://www.rightmove.co.uk/properties/125522588#/?channel=RES_BUY,"Little Britain, London",1 bedroom flat for sale,"£575,000"
https://www.rightmove.co.uk/properties/85651521#/?channel=RES_BUY,John Trundle Court Barbican EC2,1 bedroom apartment for sale,"£525,000"
https://www.rightmove.co.uk/properties/126979568#/?channel=RES_BUY,"Dominion House, 59 Bartholomew Close, London, EC1A",2 bedroom apartment for sale,"£1,250,000"
https://www.rightmove.co.uk/properties/126902981#/?channel=RES_BUY,"Queens Quay, 58 Upper Thames Street, EC4V",1 bedroom flat for sale,"£525,000"
https://www.rightmove.co.uk/properties/121566668#/?channel=RES_BUY,"Mitre Street, London, EC3A",2 bedroom penthouse for sale,"£1,250,000"
https://www.rightmove.co.uk/properties/126874325#/?channel=RES_BUY,"Sugar Quay, 1 Water Lane, London, EC3R",2 bedroom flat for sale,"£1,850,000"
https://www.rightmove.co.uk/properties/85426797#/?channel=RES_BUY,"Clifford's Inn, EC4A",2 bedroom apartment for sale,"£999,000"
https://www.rightmove.co.uk/properties/126817097#/?channel=RES_BUY,"Tudor Rose Court, Fann Street, London",1 bedroom apartment for sale,"£435,000"
https://www.rightmove.co.uk/properties/126812792#/?channel=RES_BUY,"One Bishopsgate Plaza, City Of London, EC2M",1 bedroom apartment for sale,"£1,420,000"
https://www.rightmove.co.uk/properties/125956193#/?channel=RES_BUY,"Sir John Lyon House, 8 High Timber Street, London, EC4V",3 bedroom flat for sale,"£3,500,000"
https://www.rightmove.co.uk/properties/126724856#/?channel=RES_BUY,"Bridgewater Square, London",2 bedroom flat for sale,"£900,000"
https://www.rightmove.co.uk/properties/116422373#/?channel=RES_BUY,"Wood Street, Roman House",3 bedroom flat for sale,"£1,900,000"
https://www.rightmove.co.uk/properties/125192606#/?channel=RES_BUY,"The Heron building, London EC2Y",2 bedroom apartment for sale,"£1,200,000"
https://www.rightmove.co.uk/properties/126646508#/?channel=RES_BUY,"Sir John Lyon House, High Timber Street, City Of London, London",3 bedroom apartment for sale,"£3,500,000"
https://www.rightmove.co.uk/properties/126635453#/?channel=RES_BUY,"Barbican, London, EC2Y",1 bedroom flat for sale,"£735,000"
https://www.rightmove.co.uk/properties/126523442#/?channel=RES_BUY,"The Underwood Building, 25 Bartholomew Close, EC1A",1 bedroom apartment for sale,"£830,000"
https://www.rightmove.co.uk/properties/126611444#/?channel=RES_BUY,"Queens Quay, Upper Thames Street, EC4V",2 bedroom apartment for sale,"£1,250,000"
https://www.rightmove.co.uk/properties/126589523#/?channel=RES_BUY,"Hosier Lane, West Smithfield, London",1 bedroom flat for sale,"£565,000"
https://www.rightmove.co.uk/properties/126564884#/?channel=RES_BUY,"Amen Lodge, Warwick Lane, London",2 bedroom apartment for sale,"£995,000"
https://www.rightmove.co.uk/properties/126523442#/?channel=RES_BUY,"The Underwood Building, 25 Bartholomew Close, EC1A",1 bedroom apartment for sale,"£830,000"
https://www.rightmove.co.uk/properties/126436496#/?channel=RES_BUY,"Temple Avenue, London, EC4Y",2 bedroom flat for sale,"£1,650,000"
https://www.rightmove.co.uk/properties/126415847#/?channel=RES_BUY,"Petticoat Square, London, E1",2 bedroom flat for sale,"£400,000"
https://www.rightmove.co.uk/properties/126904442#/?channel=RES_BUY,"One Bishopsgate Plaza, City Of London, EC2M",3 bedroom apartment for sale,"£4,750,000"
https://www.rightmove.co.uk/properties/126394835#/?channel=RES_BUY,"Globe View, EC4",1 bedroom apartment for sale,"£675,000"
https://www.rightmove.co.uk/properties/126382778#/?channel=RES_BUY,"Furnival Street, London, EC4A",1 bedroom apartment for sale,"£725,000"
https://www.rightmove.co.uk/properties/85573782#/?channel=RES_BUY,"Carthusian Street, London, EC1M",3 bedroom apartment for sale,"£1,650,000"
https://www.rightmove.co.uk/properties/126207272#/?channel=RES_BUY,"Barts Square, 56 West Smithfield, Smithfield Market, City Of London, EC1A",2 bedroom apartment for sale,"£1,600,750"
https://www.rightmove.co.uk/properties/84038400#/?channel=RES_BUY,"Pepys Street, City Of London, EC3N",1 bedroom apartment for sale,"£615,000"
https://www.rightmove.co.uk/properties/126175601#/?channel=RES_BUY,"Furnival Street, London, EC4A",1 bedroom apartment for sale,"£750,000"
https://www.rightmove.co.uk/properties/111198194#/?channel=RES_BUY,"Greystoke Place, Greystoke Place",2 bedroom flat for sale,"£1,400,000"
https://www.rightmove.co.uk/properties/126105878#/?channel=RES_BUY,"Sugar Quay, 1 Water Lane, London, EC3R",3 bedroom apartment for sale,"£5,000,000"
https://www.rightmove.co.uk/properties/85831713#/?channel=RES_BUY,"Carter Lane, Carter Lane",5 bedroom terraced house for sale,"£3,000,000"
https://www.rightmove.co.uk/properties/85829961#/?channel=RES_BUY,"One Bishopsgate Plaza, City Of London, EC2M",3 bedroom apartment for sale,"£3,920,000"
https://www.rightmove.co.uk/properties/85823388#/?channel=RES_BUY,"White Rose Court, Widegate Street, London, E1",1 bedroom flat for sale,"£600,000"
